x,y,flag
0.0507336549084595,0.8743545950577201,1
0.0507336549084595,0.8513003923160173,1
0.0498114867987914,0.8291683576839828,1
0.0507336549084595,0.8125693317099567,1
0.0507336549084595,0.7959703057359306,1
0.0507336549084595,0.772916102994228,1
0.0507336549084595,0.755394908910534,1
0.0498114867987914,0.7369515467171718,1
0.0488893186891232,0.7194303526334777,1
0.0507336549084595,0.7046756628787878,1
0.0507336549084595,0.6843879644660894,1
0.0507336549084595,0.6687111066017315,1
0.0507336549084595,0.6502677444083693,1
0.0507336549084595,0.6253692054473303,1
0.0507336549084595,0.6106145156926408,1
0.0507336549084595,0.5949376578282828,1
0.0507336549084595,0.5792607999639249,1
0.0507336549084595,0.5589731015512266,1
0.0507336549084595,0.53776323502886,1
0.0507336549084595,0.5183977047258297,1
0.0507336549084595,0.4898104933261183,1
0.0516558230181276,0.4722892992424242,1
0.0516558230181276,0.4529237689393939,1
0.0516558230181276,0.4400134154040404,1
0.0516558230181276,0.428947398088023,1
0.0525779911277957,0.4123483721139971,1
0.0525779911277957,0.4012823547979797,1
0.0516558230181276,0.3837611607142856,1
0.0516558230181276,0.3643956304112554,1
0.0516558230181276,0.3404192595598845,1
0.0516558230181276,0.3284310741341991,1
0.0516558230181276,0.3145985524891775,1
0.0516558230181276,0.2952330221861471,1
0.0516558230181276,0.2749453237734488,1
0.0516558230181276,0.2565019615800866,1
0.0516558230181276,0.2380585993867244,1
0.0516558230181276,0.2150043966450215,1
0.0507336549084595,0.1984053706709956,1
0.0516558230181276,0.1845728490259739,1
0.0507336549084595,0.1688959911616159,1
0.0498114867987914,0.1541413014069263,1
0.0498114867987914,0.1366201073232323,1
0.0488893186891232,0.1200210813492062,1
0.0507336549084595,0.0997333829365079,1
0.0498114867987914,0.0831343569624819,1
0.0507336549084595,0.0610023223304473,1
0.0507336549084595,0.0407146239177488,1
0.0498114867987914,0.0213490936147186,1
0.0700991852114898,0.0222712617243867,1
0.0949977241725288,0.025037766053391,1
0.1097524139272186,0.025959934163059,1
0.1254292717915764,0.0222712617243867,1
0.1429504658752705,0.0195047573953823,1
0.1632381642879689,0.0176604211760461,1
0.1835258627006673,0.0148939168470418,1
0.197358384345689,0.0222712617243867,1
