x,y,region,boundary_flag
0.019890162,0.2862986184834123,1.0,1.0
0.032092725,0.2838581063033175,1.0,1.0
0.0467358,0.2797905854028436,1.0,1.0
0.059751866,0.2765365688625593,1.0,1.0
0.071954429,0.2765365688625593,1.0,1.0
0.079275966,0.2692150314218009,1.0,1.0
0.089038016,0.2675880227014218,1.0,1.0
0.099613571,0.2700285348815166,1.0,1.0
0.110189125,0.2749095601421801,1.0,1.0
0.122391687,0.2724690479620852,1.0,1.0
0.132153737,0.2610799896208531,1.0,1.0
0.13459425,0.2513179390995261,1.0,1.0
0.141915787,0.2431828972985782,1.0,1.0
0.150050829,0.2480639225592417,1.0,1.0
0.158999375,0.241555889478673,1.0,1.0
0.171201938,0.2350478554976303,1.0,1.0
0.180963988,0.2236587971563981,1.0,1.0
0.186658517,0.2122697388151659,1.0,1.0
0.192353046,0.2025076891943128,1.0,1.0
0.201301592,0.1976266639336493,1.0,1.0
0.210250138,0.190305126492891,1.0,1.0
0.219198683,0.1821700846919431,1.0,1.0
0.228147229,0.1732215394312796,1.0,1.0
0.234655263,0.1642729932701422,1.0,1.0
0.237095775,0.1569514558293838,1.0,1.0
0.245230829,0.1543482325118483,1.0,1.0
0.24929835,0.1445861819905213,1.0,1.0
0.254179375,0.1380781489099526,1.0,1.0
0.260687409,0.1307566114691943,1.0,1.0
0.266381938,0.1258755862085308,1.0,1.0
0.270449459,0.1193675531279621,1.0,1.0
0.276957492,0.1128595200473933,1.0,1.0
0.284279029,0.1169270409478673,1.0,1.0
0.294041079,0.1177405444075829,1.0,1.0
0.304616634,0.1193675531279621,1.0,1.0
0.311938171,0.123435074028436,1.0,1.0
0.3241407339999999,0.1258755862085308,1.0,1.0
0.330648767,0.1185540487677725,1.0,1.0
0.3371568,0.1120460156872037,1.0,1.0
0.345291842,0.109605502606635,1.0,1.0
0.355867396,0.1079784947867298,1.0,1.0
0.367256455,0.1112325113270142,1.0,1.0
0.372950984,0.1087919991469194,1.0,1.0
0.380272521,0.1120460156872037,1.0,1.0
0.389221067,0.1120460156872037,1.0,1.0
0.395729101,0.1071649904265402,1.0,1.0
0.402237134,0.1014704617061611,1.0,1.0
0.4119991840000001,0.1022839651658767,1.0,1.0
0.421761234,0.1022839651658767,1.0,1.0
0.429896276,0.1022839651658767,1.0,1.0
0.4412853339999999,0.1063514860663507,1.0,1.0
0.448606872,0.1030974695260663,1.0,1.0
0.455928409,0.1006569573459715,1.0,1.0
0.463249947,0.0974029408056871,1.0,1.0
0.4692563219999999,0.0944675344549763,1.0,1.0
0.474679683,0.0912135179146919,1.0,1.0
0.481730052,0.0939251988151658,1.0,1.0
0.4876957489999999,0.0960945431753554,1.0,1.0
0.494746119,0.0971792153554502,1.0,1.0
0.499627144,0.0912135179146919,1.0,1.0
0.508304522,0.0906711822748815,1.0,1.0
0.5169819,0.0863324926540284,1.0,1.0
0.524574605,0.0879595013744075,1.0,1.0
0.531082638,0.0912135179146919,1.0,1.0
0.539760016,0.0933828622748815,1.0,1.0
0.54626805,0.0912135179146919,1.0,1.0
0.552776083,0.0885018379146919,1.0,1.0
