x,y,region,boundary_flag
0.0001791977611316,0.1275181808682386,1.0,1.0
0.0018196270320511,0.1276608268917967,1.0,1.0
0.0034600563029705,0.1277321499035758,1.0,1.0
0.0052431315974482,0.1277321499035758,1.0,1.0
0.0070975299037049,0.1274468578564594,1.0,1.0
0.0088092821864035,0.1267336277386684,1.0,1.0
0.0105210344691021,0.1260203976208773,1.0,1.0
0.0131599859049291,0.1252358444913071,1.0,1.0
0.0145151231287321,0.123809384255725,1.0,1.0
0.022503300447992,0.123809384255725,1.0,1.0
0.0307054468025893,0.1236667382321668,1.0,1.0
0.0346282124504402,0.1235240922086085,1.0,1.0
0.0355554116035686,0.1243799683499578,1.0,1.0
0.0361973187095806,0.1229535081143757,1.0,1.0
0.0365539337684761,0.12181233992591,1.0,1.0
0.036482610756697,0.1203858796903279,1.0,1.0
0.0379803940040582,0.1205285257138861,1.0,1.0
0.038479655086512,0.1215270478787936,1.0,1.0
0.0441854960288405,0.1213844018552353,1.0,1.0
0.0505189807807886,0.1245939373852952,1.0,1.0
0.0536571932990693,0.126519658703331,1.0,1.0
0.0560821756995589,0.1276608268917967,1.0,1.0
0.0585784811118275,0.1276608268917967,1.0,1.0
0.0605042024298634,0.1277321499035758,1.0,1.0
0.0619306626654456,0.1284453800213669,1.0,1.0
0.0633571229010278,0.1283740570095878,1.0,1.0
0.0650688751837264,0.1283740570095878,1.0,1.0
0.0652115212072846,0.1294439021862745,1.0,1.0
0.0679217956548906,0.1292299331509371,1.0,1.0
0.0703467780553803,0.1292299331509371,1.0,1.0
0.0724864684087535,0.1276608268917967,1.0,1.0
0.0739842516561147,0.1268762737622266,1.0,1.0
0.0769798181508372,0.1268049507504475,1.0,1.0
0.0783349553746402,0.1269475967740057,1.0,1.0
0.080831260786909,0.127803472915355,1.0,1.0
0.0834702122227359,0.1276608268917967,1.0,1.0
0.0857668140726654,0.1285880260449252,1.0,1.0
0.0894042876733998,0.1300858092922864,1.0,1.0
0.0924711771799014,0.1320115306103223,1.0,1.0
0.095538066686403,0.1340085749401373,1.0,1.0
0.0983909871575673,0.1317975615749849,1.0,1.0
0.10217110678186,0.1308703624218566,1.0,1.0
0.1052379962883615,0.1299431632687282,1.0,1.0
0.1090181159126542,0.129158610139158,1.0,1.0
0.1157224790198903,0.1295152251980535,1.0,1.0
0.1214996429739979,0.1292299331509371,1.0,1.0
0.1262782847631981,0.1292299331509371,1.0,1.0
0.1307716345052818,0.1294439021862745,1.0,1.0
0.1328400018468759,0.1329387297634507,1.0,1.0
0.134266462082458,0.1348644510814866,1.0,1.0
0.1326260371647497,0.1372181104701971,1.0,1.0
0.1312708999409467,0.1390725087764538,1.0,1.0
0.1306289928349348,0.1409269070827107,1.0,1.0
0.1300584087407019,0.1444217346598869,1.0,1.0
0.1308429618702721,0.1466327480250392,1.0,1.0
0.1309142848820512,0.1499136065668781,1.0,1.0
0.131484868976284,0.1519106508966931,1.0,1.0
0.1315561919880631,0.155191509438532,1.0,1.0
0.1332679442707617,0.1553341554620902,1.0,1.0
0.1359782187183678,0.1561187085916604,1.0,1.0
0.1380465860599619,0.1569032617212306,1.0,1.0
