x,y,region,boundary_flag
0.1019458804784796,0.3048223238454563,1.0,1.0
0.1065194686088149,0.308673766481528,1.0,1.0
0.1060380382793059,0.3045816086807018,1.0,1.0
0.1101301960801322,0.3077109058225101,1.0,1.0
0.1173516510227667,0.3074701906577556,1.0,1.0
0.1260173969539282,0.3081923361520191,1.0,1.0
0.130350269919509,0.3115623484585819,1.0,1.0
0.1346831428850897,0.3146916456003901,1.0,1.0
0.1411824523334608,0.3163766517536716,1.0,1.0
0.1481631921113409,0.3158952214241626,1.0,1.0
0.1527367802416761,0.3134880697766178,1.0,1.0
0.1558660773834844,0.3098773423053005,1.0,1.0
0.1585139441957838,0.3067480451634922,1.0,1.0
0.16260610199661,0.3115623484585819,1.0,1.0
0.1695868417744901,0.3132473546118632,1.0,1.0
0.1741604299048253,0.3144509304356357,1.0,1.0
0.1792154483646695,0.3120437787880908,1.0,1.0
0.1852333274835317,0.3137287849413722,1.0,1.0
0.1898069156138669,0.3197466640602344,1.0,1.0
0.1931769279204297,0.3267274038381145,1.0,1.0
0.1900476307786214,0.3308195616389408,1.0,1.0
0.1934176430851842,0.3300974161446773,1.0,1.0
0.1922140672614118,0.3339488587807491,1.0,1.0
0.1902883459433759,0.3375595862520663,1.0,1.0
0.1866776184720586,0.3404481682291201,1.0,1.0
0.1866776184720586,0.3467067625127368,1.0,1.0
0.1816707436879441,0.3515210658078265,1.0,1.0
0.1770971555576089,0.351761780972581,1.0,1.0
0.1918770711729862,0.3647603998693232,1.0,1.0
0.2031592662642997,0.3810096137838633,1.0,1.0
0.2263130561741218,0.3980703010858374,1.0,1.0
0.2519040871270831,0.4212240909956595,1.0,1.0
0.2896813232957401,0.4455965014270512,1.0,1.0
0.3347702825938147,0.4711875323800125,1.0,1.0
0.3713288982409022,0.4614385682074558,1.0,1.0
0.3831388120022556,0.4443242841695793,1.0,1.0
0.3874716849678363,0.4407135566982619,1.0,1.0
0.3921656306805489,0.4360196109855495,1.0,1.0
0.3881938304620998,0.4295203015371784,1.0,1.0
0.3878327577149681,0.4215767011002804,1.0,1.0
0.3928877761748123,0.4161606098933044,1.0,1.0
0.3986649401289199,0.4136331006633824,1.0,1.0
0.405164249577291,0.4147163189047775,1.0,1.0
0.4123857045199256,0.4114666641805919,1.0,1.0
0.4181628684740333,0.4060505729736161,1.0,1.0
0.4209070235560476,0.3999123362723766,1.0,1.0
0.4270452602572869,0.3999123362723766,1.0,1.0
0.4342667151999215,0.4002734090195084,1.0,1.0
0.4418492428896878,0.3948573178125325,1.0,1.0
0.4483485523380589,0.39016337209982,1.0,1.0
0.4541257162921666,0.3872747901227661,1.0,1.0
0.4595418074991425,0.3843862081457123,1.0,1.0
0.4645968259589867,0.3811365534215267,1.0,1.0
0.4660411169475136,0.3768036804559461,1.0,1.0
0.4707350626602261,0.3703043710075749,1.0,1.0
0.4754290083729385,0.3638050615592038,1.0,1.0
0.4804840268327828,0.36091647958215,1.0,1.0
0.4844558270512317,0.3573057521108327,1.0,1.0
0.4840947543040999,0.352972879145252,1.0,1.0
0.486622263534022,0.3497232244210664,1.0,1.0
0.4848168997983635,0.345029278708354,1.0,1.0
0.4786786630971241,0.3446682059612222,1.0,1.0
0.4696518444188309,0.3446682059612222,1.0,1.0
0.466763262441777,0.3385299692599828,1.0,1.0
0.4631525349704598,0.3320306598116118,1.0,1.0
0.4620557853162997,0.326005258343851,1.0,1.0
0.4618150701515452,0.3173395124126895,1.0,1.0
0.4630186459753177,0.309636627140546,1.0,1.0
0.4642222217990901,0.3028966025274204,1.0,1.0
0.4663886582818805,0.2980822992323307,1.0,1.0
0.4649443672933536,0.2949530020905224,1.0,1.0
0.4687958099294254,0.293267995937241,1.0,1.0
0.4743322587187786,0.2901386987954327,1.0,1.0
0.4813129984966586,0.2860465409946064,1.0,1.0
0.4870901624507662,0.2826765286880436,1.0,1.0
0.492385896075365,0.2797879467109898,1.0,1.0
0.4969594842057002,0.2732886372626187,1.0,1.0
0.5017737875007898,0.2687150491322835,1.0,1.0
0.5061066604663707,0.2626971700134212,1.0,1.0
0.5130874002442507,0.258605012212595,1.0,1.0
0.5186238490336039,0.2569200060593136,1.0,1.0
0.5207902855163942,0.2542721392470143,1.0,1.0
0.5263267343057474,0.2549942847412777,1.0,1.0
0.5301781769418192,0.2537907089175053,1.0,1.0
0.5349924802369089,0.2518649875994694,1.0,1.0
0.5386032077082262,0.2523464179289784,1.0,1.0
0.5376403470492083,0.2547535695765233,1.0,1.0
0.5398067835319986,0.2578828667183316,1.0,1.0
0.541973220014789,0.2554757150707867,1.0,1.0
0.542958468150542,0.2534079049402221,1.0,1.0
0.5439213288095599,0.2515891681398549,1.0,1.0
0.5408187777971689,0.2515891681398549,1.0,1.0
0.5381441648554522,0.2511612300691803,1.0,1.0
0.5406048087618315,0.250305353927831,1.0,1.0
0.5428514836328734,0.2490215397158071,1.0,1.0
0.5452051691408509,0.2468818493624338,1.0,1.0
0.5474518440118927,0.244635174491392,1.0,1.0
0.54927058081226,0.243030406726362,1.0,1.0
0.5506613795419525,0.243672313832374,1.0,1.0
0.549912487918272,0.2458120041857472,1.0,1.0
0.549591534365266,0.2500913848924936,1.0,1.0
0.548628673706248,0.2538358430108968,1.0,1.0
0.5484147046709108,0.2571523630586252,1.0,1.0
0.5513032866479646,0.2547987036699147,1.0,1.0
0.5530150389306631,0.2527659978342101,1.0,1.0
0.5550477447663676,0.250305353927831,1.0,1.0
0.5517312247186392,0.2507332919985056,1.0,1.0
0.5525871008599885,0.248700586162801,1.0,1.0
0.5530150389306631,0.2460259732210845,1.0,1.0
0.5528010698953257,0.2450631125620666,1.0,1.0
0.5508753485772899,0.2452770815974039,1.0,1.0
0.5519451937539765,0.24399326738538,1.0,1.0
0.5521591627893138,0.2422815151026814,1.0,1.0
0.5538709150720124,0.2403557937846456,1.0,1.0
0.5556896518723796,0.238002134395935,1.0,1.0
0.5568664815667349,0.2365043511485738,1.0,1.0
0.5579363267434214,0.2342576762775319,1.0,1.0
0.5588991874024394,0.2325459239948334,1.0,1.0
0.5611458622734813,0.2360764130778992,1.0,1.0
0.5668160417099203,0.2358624440425618,1.0,1.0
0.5735560663230459,0.2373602272899231,1.0,1.0
0.5784773541358043,0.2375741963252604,1.0,1.0
0.5821148277365388,0.2385370569842783,1.0,1.0
0.5854313477842672,0.2372532427722544,1.0,1.0
0.5890688213850016,0.2347925988658752,1.0,1.0
0.5896037439733449,0.2382161034312724,1.0,1.0
0.5930272485387421,0.2360764130778992,1.0,1.0
0.5938831246800913,0.2336157691715199,1.0,1.0
0.5966647221394764,0.2324389394771647,1.0,1.0
0.6006231492932169,0.2321179859241587,1.0,1.0
0.6047955454822946,0.232331954959496,1.0,1.0
0.6084330190830292,0.2327598930301707,1.0,1.0
0.6120704926837636,0.2336157691715199,1.0,1.0
0.6161359043551726,0.2332948156185139,1.0,1.0
0.6181686101908773,0.2332948156185139,1.0,1.0
0.6184895637438832,0.2363973666309051,1.0,1.0
0.6159219353198354,0.2403557937846456,1.0,1.0
0.6122844617191009,0.2431373912440307,1.0,1.0
0.6104657249187336,0.2472028029154398,1.0,1.0
0.6102517558833964,0.2507332919985056,1.0,1.0
0.6086469881183665,0.2550126727052521,1.0,1.0
0.6056514216236439,0.2587571308236551,1.0,1.0
0.6013720409168976,0.261003805694697,1.0,1.0
0.5966647221394764,0.2644273102600941,1.0,1.0
0.5928132795034048,0.2661390625427927,1.0,1.0
0.5889618368673329,0.2679577993431599,1.0,1.0
0.5855383323019359,0.2691346290375152,1.0,1.0
0.5825427658072133,0.2704184432495391,1.0,1.0
0.5802960909361714,0.2708463813202137,1.0,1.0
